TransactionID,Amount,RecipientAccount,Reason
,,,""
RT202509150031,1933.44,620002007293,"Not Verified"
RT202509150023,6309.46,620003658505,"Not Verified"
RT202509150071,31532.23,620007167294,"Amount > R10 000"
RT202509150005,4707.1,630014903402,"International"
RT202509150013,718.9,620007249859,"International | Not Verified"
RT202509150050,6899.85,620003230919,"Not Verified"
RT202509150034,58614.33,620009411855,"Amount > R10 000"
RT202509150068,47220.4,620001491234,"Amount > R10 000"
RT202509150036,3153.44,620008807313,"International"
RT202509150046,22449.67,620002425472,"Amount > R10 000"
RT202509150074,16983.02,620008558158,"Amount > R10 000"
RT202509150062,10221.02,620005142807,"Amount > R10 000 | Not Verified"
RT202509150010,67432.94,630011499914,"Amount > R10 000"
RT202509150065,4308.08,620004602279,"International"
RT202509150035,4950.06,620006267180,"International"
RT202509150043,29905.02,620002285160,"Amount > R10 000 | International"
RT202509150017,12937.88,620006414709,"Amount > R10 000 | Not Verified"
RT202509150008,5530.75,630014744854,"Not Verified"
RT202509150067,11776.75,620003121690,"Amount > R10 000"
RT202509150026,2231.17,620002046797,"Not Verified"
RT202509150045,14943.74,620006173036,"Amount > R10 000 | International"
RT202509150014,3708.74,620003305413,"Not Verified"
RT202509150077,10960.23,620008887739,"Amount > R10 000"
RT202509150004,5614.37,630013341057,"International | Not Verified"
RT202509150066,7190.67,620006515989,"Not Verified"
RT202509150007,17222.83,630018078673,"Amount > R10 000 | Not Verified"
RT202509150037,452.56,620003704238,"International"
RT202509150047,251.66,620001048984,"International"
RT202509150028,71952.02,620001564685,"Amount > R10 000 | International"
RT202509150027,27487.44,620004047262,"Amount > R10 000"
RT202509150078,6806.33,620001769598,"Not Verified"
RT202509150058,9801.57,620001996107,"Not Verified"
RT202509150033,1155.64,620004366612,"Not Verified"
RT202509150076,4425.77,620009511017,"Not Verified"
RT202509150060,24648.49,620005545583,"Amount > R10 000"
RT202509150070,73722.54,620007914550,"Amount > R10 000 | International"
RT202509150030,28207.44,620006596411,"Amount > R10 000 | Not Verified"
RT202509150053,4879.75,620005780450,"International | Not Verified"
RT202509150022,1955.82,620009585377,"Not Verified"
RT202509150024,53.12,620002271741,"Not Verified"
RT202509150075,3090.72,620007510425,"Not Verified"
RT202509150021,14289.88,620003299435,"Amount > R10 000"
RT202509150015,45952.08,620004910197,"Amount > R10 000"
